"","FamID","MomID","DadID","Fam.ord","Pop","Pop.ord","Year","Group","Group.ord","Reg","Reg.ord","Temp","Temp.ord","Temp.rep","Tray.set","Tray","Rep","Cell","TagID","Planting.date","Percival","Leaf.number.going.in","Leaf.number.coming.out..green.","Leaf.number.coming.out..brown.","Notes","NAleafIn","zeroLeafIn","sampledB4leafOut","outRGR","zeros","RGR","surv","regCol","daytimeTemp"
"82","GH_0083","SS4054","SS4037",46,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"A10",83.02,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"83","GH_0010","SS3643","SS3610",5,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"A11",10.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"84","GH_0034","SS3650","SS3604",15,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"A12",34.02,"2/18/19","I-31",2,4,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"85","GH_0799","NFS167","NFS162",58,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"B1",799.02,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"86","GH_0057","SS4027","SS4011",40,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"B2",57.02,"2/18/19","I-31",6,38,NA,NA,0,0,0,0,0,0.761904761904762,1,"#5E4FA2",35
"87","GH_0722","ROC4","ROC111",31,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"B3",722.02,"2/18/19","I-31",2,10,NA,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
"88","GH_0748","ROC18","ROC151",35,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"B4",748.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"89","GH_0007","SS3612","SS3610",3,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"B5",7.02,"2/18/19","I-31",4,10,NA,NA,0,0,0,0,0,0.214285714285714,1,"#5E4FA2",35
"90","GH_0820","NFS31","NFS84",61,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"B6",820.02,"2/18/19","I-31",6,30,NA,NA,0,0,0,0,0,0.571428571428571,1,"#5E4FA2",35
"91","GH_0840","NFS78","NFS125",64,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"B7",840.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"92","GH_0027","SS3613","SS3646",10,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"B8",27.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"93","GH_0018","SS3630","SS3652",6,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"B9",18.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"94","GH_0677","ROC74","ROC132",27,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"B10",677.02,"2/18/19","I-31",4,28,NA,NA,0,0,0,0,0,0.857142857142857,1,"#5E4FA2",35
"95","GH_0108","SS4044a","SS4024",53,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"B11",108.02,"2/18/19","I-31",2,6,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"96","GH_0643","ROC116","ROC70",20,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"B12",643.02,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"97","GH_0023","SS3616","SS3624",8,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"C1",23.02,"2/18/19","I-31",2,6,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"98","GH_0003","SS3639","SS3615",2,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"C2",3.02,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"99","GH_0074","SS4021","SS3665",44,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"C3",74.02,"2/18/19","I-31",2,NA,2,NA,0,0,0,0,0,0,0,"#5E4FA2",35
"100","GH_0903","NFS135","NFS119",72,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"C4",903.02,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"101","GH_0090","SS4014","SS3688",48,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"C5",90.02,"2/18/19","I-31",6,36,NA,NA,0,0,0,0,0,0.714285714285714,1,"#5E4FA2",35
"102","GH_0039","SS3619","SS3607",17,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"C6",39.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"103","GH_0849","NFS124","NFS1",65,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"C7",849.02,"2/18/19","I-31",8,56,NA,NA,0,0,0,0,0,0.857142857142857,1,"#5E4FA2",35
"104","GH_0892","NFS99","NFS54",70,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"C8",892.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"105","GH_0663","ROC134","ROC3",24,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"C9",663.02,"2/18/19","I-31",0,4,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"106","GH_0032","SS3649","SS3604",14,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"C10",32.02,"2/18/19","I-31",8,48,NA,"Bud developing (Out)",0,0,0,0,0,0.714285714285714,1,"#5E4FA2",35
"107","GH_0868","NFS104","NFS123",68,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,2,0.02,"C11",868.02,"2/18/19","I-31",4,8,NA,NA,0,0,0,0,0,0.142857142857143,1,"#5E4FA2",35
"108","GH_0020","SS3633","SS3652",7,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,2,0.02,"C12",20.02,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"109","GH_0114","SS4016","SS3657",54,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,2,0.02,"D1",114.02,"2/18/19","I-31",4,6,NA,"Curly leafs",0,0,0,0,0,0.0714285714285714,1,"#5E4FA2",35
"110","GH_0672","ROC55","ROC14",26,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,2,0.02,"D2",672.02,"2/18/19","I-31",NA,NA,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
