FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_0075,SS3658,SS3665,45,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,E2,75.02,2/18/19,I-31,2,6,,
GH_0647,ROC155,ROC54,21,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,E3,647.02,2/18/19,I-31,6,26,,
GH_0035,SS3606,SS3604,16,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,E4,35.02,2/18/19,I-31,4,24,,
GH_0087,SS3680,SS3688,47,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,E5,87.02,2/18/19,I-31,2,4,,
GH_0823,NFS89,NFS112,62,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,E6,823.02,2/18/19,I-31,6,30,,
GH_0098,SS4031,SS3683,50,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,E7,98.02,2/18/19,I-31,NA,0,,
GH_0732,ROC158,ROC10,33,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,E8,732.02,2/18/19,I-31,4,24,,
GH_0103,SS4034,SS4048,52,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,E9,103.02,2/18/19,I-31,10,65,1,4 buds developing (out)
GH_0729,ROC159,ROC30,32,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,E10,729.02,2/18/19,I-31,6,26,,
GH_0884,NFS141,NFS17,69,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,E11,884.02,2/18/19,I-31,6,36,,
GH_0009,SS3605,SS3610,4,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,E12,9.02,2/18/19,I-31,2,14,,
GH_0031,SS3621,SS3604,13,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,F1,31.02,2/18/19,I-31,2,4,,
GH_0653,ROC123,ROC105,22,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,F2,653.02,2/18/19,I-31,4,16,,
GH_0052,SS3693,SS4004,39,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,F3,52.02,2/18/19,I-31,0,4,,
GH_0656,ROC47,ROC162,23,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,F4,656.02,2/18/19,I-31,4,10,,
GH_0040,SS3642,SS3607,18,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,F5,40.02,2/18/19,I-31,0,4,,
GH_0715,ROC85,ROC94,30,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,F6,715.02,2/18/19,I-31,2,14,,
GH_0810,NFS30,NFS52,59,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,F7,810.02,2/18/19,I-31,6,26,,
GH_0030,SS3638,SS3646,12,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,F8,30.02,2/18/19,I-31,4,18,,
GH_0669,ROC57,ROC133,25,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,2,0.02,F9,669.02,2/18/19,I-31,NA,0,,
GH_0029,SS3611,SS3646,11,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,2,0.02,F10,29.02,2/18/19,I-31,0,2,,
GH_0062,SS4047,SS3674,41,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,2,0.02,F11,62.02,2/18/19,I-31,8,42,,buds (out)
GH_0769,NFS153,NFS27,56,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,2,0.02,F12,769.02,2/18/19,I-31,8,54,,buds (out)
